heal,healRate,local_acc_confirm,confirm,dead,importedCase,deadRate,date,noInfectH5,suspect,nowSevere,localConfirmH5,y,noInfect,nowConfirm,localConfirm,dateId
133993,67.4,109326,198691,6148,14339,3.1,02.27,241,6,21,1229,2022,1006,58550,1229,2022-02-27
134764,64.1,109526,210217,6233,14464,3.0,02.28,272,11,19,1263,2022,1097,69220,1263,2022-02-28
135431,59.3,109750,228499,6479,14617,2.8,03.01,313,9,19,1276,2022,1209,86589,1276,2022-03-01
136140,54.7,109964,249048,6657,14777,2.7,03.02,347,9,20,1251,2022,1298,106251,1251,2022-03-02
136788,50.8,110258,269138,6855,15010,2.5,03.03,390,7,18,1267,2022,1387,125495,1267,2022-03-03
137402,45.7,110539,300851,7043,15189,2.3,03.04,451,11,14,1299,2022,1500,156406,1299,2022-03-04
138250,43.3,110868,319225,7263,15343,2.3,03.05,570,9,14,1410,2022,1647,173712,1410,2022-03-05
139056,41.1,111195,338496,7496,15456,2.2,03.06,876,13,11,1547,2022,2024,191944,1547,2022-03-06
139554,40.5,111520,344585,7776,15606,2.3,03.07,1192,12,9,1667,2022,2407,197255,1667,2022-03-07
140513,39.1,111857,359739,8067,15710,2.2,03.08,1497,22,8,1805,2022,2749,211159,1805,2022-03-08
141446,38.0,112385,372123,8358,15836,2.2,03.09,1910,12,7,2159,2022,3238,222319,2159,2022-03-09
142466,37.5,112940,380238,8639,15994,2.3,03.10,2585,7,6,2484,2022,3972,229133,2484,2022-03-10
143494,37.2,113528,385997,8933,16106,2.3,03.11,3624,8,6,2895,2022,5076,233570,2895,2022-03-11
144623,36.9,115466,391716,9218,16237,2.4,03.12,4801,4,6,4643,2022,6287,237875,4643,2022-03-12
145499,36.6,116902,397659,9482,16337,2.4,03.13,5490,5,8,5921,2022,7039,242678,5921,2022-03-13
146023,36.0,120504,405360,9768,16432,2.4,03.14,7040,6,8,9372,2022,8650,249569,9372,2022-03-14
147084,35.8,122456,410827,10057,16524,2.4,03.15,8169,6,11,11189,2022,9864,253686,11189,2022-03-15
148389,35.7,123773,415480,10336,16615,2.5,03.16,9300,14,16,12426,2022,11029,256755,12426,2022-03-16
149838,35.7,126234,420134,10625,16688,2.5,03.17,10984,19,18,14606,2022,12786,259671,14606,2022-03-17
151526,35.7,128462,424297,10892,16759,2.6,03.18,12597,7,31,16530,2022,14318,261879,16530,2022-03-18
153047,35.8,130199,427848,11141,16840,2.6,03.19,14501,10,35,18016,2022,16196,263660,18016,2022-03-19
154514,35.8,132226,431271,11387,16920,2.6,03.20,16669,14,39,19617,2022,18327,265370,19617,2022-03-20
155494,35.8,134564,434834,11610,16976,2.7,03.21,18521,14,42,21507,2022,20155,267730,21507,2022-03-21
157432,35.9,137231,438647,11855,17052,2.7,03.22,20411,12,50,23659,2022,22000,269360,23659,2022-03-22
159794,36.2,139285,441865,12060,17096,2.7,03.23,22564,13,50,24953,2022,24062,270011,24953,2022-03-23
161905,36.4,140651,445069,12261,17161,2.8,03.24,25591,16,50,25710,2022,27046,270903,25710,2022-03-24
164215,36.7,141986,447162,12453,17216,2.8,03.25,29443,13,50,26218,2022,30850,270494,26218,2022-03-25
166661,37.1,143240,449283,12592,17253,2.8,03.26,33170,13,53,26571,2022,34508,270030,26571,2022-03-26
168586,37.3,144515,451447,12743,17309,2.8,03.27,37291,19,58,26831,2022,38649,270118,26831,2022-03-27
170177,37.5,145808,453469,12911,17370,2.8,03.28,42116,15,59,27021,2022,43425,270382,27021,2022-03-28
172755,37.9,147437,455633,13062,17434,2.9,03.29,48154,17,62,27372,2022,49421,269816,27372,2022-03-29
175627,38.3,149276,458299,13197,17470,2.9,03.30,53709,18,66,27843,2022,54911,269475,27843,2022-03-30
178163,38.7,151103,460892,13316,17510,2.9,03.31,59056,20,66,29306,2022,57874,269413,29306,2022-03-31
183944,38.7,153232,475180,13436,17553,2.8,04.01,62768,19,58,26467,2022,63886,277800,26467,2022-04-01
187850,38.8,154738,483750,13552,17604,2.8,04.02,72584,19,57,25514,2022,73689,282348,25514,2022-04-02
190569,39.2,156143,485913,13663,17643,2.8,04.03,82300,17,54,25105,2022,83364,281681,25105,2022-04-03
192850,39.5,157378,487867,13753,17705,2.8,04.04,95777,17,63,24469,2022,96803,281264,24469,2022-04-04
196207,40.0,158793,490130,13840,17737,2.8,04.05,112937,16,75,24024,2022,113950,280083,24024,2022-04-05
198627,40.4,160116,492227,13951,17776,2.8,04.06,131955,19,85,23626,2022,132948,279649,23626,2022-04-06
201985,40.8,161692,495323,14048,17812,2.8,04.07,151728,23,77,13353,2022,152693,279290,13353,2022-04-07
205491,41.3,163042,497437,14134,17828,2.8,04.08,173083,29,79,22744,2022,174015,277812,22744,2022-04-08
208982,41.8,164393,499486,14197,17861,2.8,04.09,195021,28,80,22589,2022,195948,276307,22589,2022-04-09
211238,42.1,165577,501495,14262,17881,2.8,04.10,218997,28,76,22025,2022,219896,275995,22025,2022-04-10
213274,42.4,140220,503565,14319,17902,2.8,04.11,239737,26,77,21991,2022,240624,275972,21991,2022-04-11
216382,42.8,168362,505815,14378,17915,2.8,04.12,257493,26,87,21512,2022,258374,275055,21512,2022-04-12
219950,43.1,171382,509824,14440,17936,2.8,04.13,265386,15,78,22514,2022,266230,275434,22514,2022-04-13
222887,43.3,174868,514371,14494,17950,2.8,04.14,275843,16,76,24595,2022,276632,276990,24595,2022-04-14
227416,43.7,178764,519822,14561,17979,2.8,04.15,273905,12,74,25697,2022,274676,277854,25697,2022-04-15
229824,43.8,182293,524766,14602,18004,2.8,04.16,283024,12,78,27629,2022,283814,280340,27629,2022-04-16
232108,43.9,185035,529071,14634,18023,2.8,04.17,281992,5,71,28730,2022,282764,282329,28730,2022-04-17
234428,43.9,188351,534257,14661,18042,2.7,04.18,275745,5,75,30134,2022,276499,285168,30134,2022-04-18
237390,44.1,191112,538839,14687,18050,2.7,04.19,265538,6,116,30537,2022,266288,286762,30537,2022-04-19
240448,44.2,193953,544455,14705,18061,2.7,04.20,260517,2,223,31188,2022,261262,289302,31188,2022-04-20
242835,44.2,196086,549764,14742,18075,2.7,04.21,248781,2,251,30595,2022,249507,292187,30595,2022-04-21
246206,44.2,199074,556794,14769,18092,2.7,04.22,246645,2,237,30444,2022,247348,295819,30444,2022-04-22
249110,42.9,200654,580108,14817,18106,2.6,04.23,246645,2,236,30444,2022,249212,316181,30444,2022-04-23
252261,42.8,203334,589031,14881,18120,2.5,04.24,246645,2,274,30444,2022,245343,321889,30444,2022-04-24
254646,43.4,205257,586290,14951,18135,2.6,04.25,245543,2,341,28523,2022,246139,326693,28523,2022-04-25
248059,41.0,207081,604541,15006,18141,2.5,04.26,224647,0,318,26579,2022,225249,341476,26579,2022-04-26
250994,40.8,208584,615102,15063,18150,2.4,04.27,207613,0,399,25323,2022,208195,349045,25323,2022-04-27
